Features,History,Result,Time
[20],0,unsat,2.7047178745269775
[21],0,unsat,2.690833568572998
[22],0,unsat,0.9717817306518555
[23],0,unsat,0.6516368389129639
[0],0,unsat,1.9061646461486816
[1],0,unsat,2.0184342861175537
[2],0,unsat,2.837472677230835
[3],0,unsat,3.5229055881500244
[4],0,unsat,2.337543487548828
[5],0,unsat,3.0485873222351074
[6],0,unsat,2.2775890827178955
[7],0,unsat,2.585205316543579
[8],0,unsat,2.6500442028045654
[9],0,unsat,2.7353858947753906
[10],0,unsat,3.080308198928833
[11],0,unsat,2.0464682579040527
[12],0,unsat,2.3718061447143555
[13],0,unsat,2.3432743549346924
[14],0,unsat,2.5456151962280273
[15],0,unsat,2.8522708415985107
[16],0,unsat,3.0375165939331055
[17],0,unsat,2.9455630779266357
[18],0,unsat,2.507821798324585
[19],0,unsat,2.673126220703125
[20],0,unsat,2.348783254623413
[21],0,unsat,2.431769371032715
[22],0,unsat,1.030571460723877
[23],0,unsat,0.6705536842346191
[0],0,unsat,2.8795108795166016
[1],0,unsat,2.5388131141662598
[2],0,unsat,2.809943675994873
[3],0,unsat,3.0223798751831055
[4],0,unsat,2.873641014099121
[5],0,unsat,2.3338422775268555
[6],0,unsat,2.660053014755249
[7],0,unsat,2.326317071914673
[8],0,unsat,2.3752901554107666
[9],0,unsat,2.520993709564209
[10],0,unsat,2.7079005241394043
[11],0,unsat,2.4140994548797607
[12],0,unsat,2.93552565574646
[13],0,unsat,2.1643850803375244
[14],0,unsat,3.289517879486084
[15],0,unsat,2.7856106758117676
[16],0,unsat,2.4747023582458496
[17],0,unsat,2.780973196029663
[18],0,unsat,2.4693565368652344
[19],0,unsat,2.4981441497802734
[20],0,unsat,2.5701005458831787
[21],0,unsat,3.1217899322509766
[22],0,unsat,1.07138991355896
[23],0,unsat,0.678408145904541
[0],0,unsat,2.7312612533569336
[1],0,unsat,2.5977017879486084
[2],0,unsat,2.1987006664276123
[3],0,unsat,2.7275474071502686
[4],0,unsat,2.260284900665283
[5],0,unsat,2.3622326850891113
[6],0,unsat,2.1817421913146973
[7],0,unsat,2.8165857791900635
[8],0,unsat,2.7051150798797607
[9],0,unsat,3.4345662593841553
[10],0,unsat,2.676919937133789
[11],0,unsat,2.1704726219177246
[12],0,unsat,2.9848077297210693
[13],0,unsat,2.7294979095458984
[14],0,unsat,2.7374799251556396
[15],0,unsat,2.587892770767212
[16],0,unsat,3.1060938835144043
[17],0,unsat,2.8349366188049316
[18],0,unsat,2.8860650062561035
[19],0,unsat,2.557328224182129
[20],0,unsat,3.1686737537384033
[21],0,unsat,3.1624674797058105
[22],0,unsat,0.9281713962554932
[23],0,unsat,0.6724655628204346
[0],0,unsat,2.174781084060669
[1],0,unsat,2.4857139587402344
[2],0,unsat,2.4535388946533203
[3],0,unsat,3.0196900367736816
[4],0,unsat,2.4029102325439453
[5],0,unsat,2.587035894393921
[6],0,unsat,2.223111391067505
[7],0,unsat,2.599364757537842
[8],0,unsat,2.65193772315979
[9],0,unsat,3.5259461402893066
[10],0,unsat,3.1710124015808105
[11],0,unsat,1.9029951095581055
[12],0,unsat,2.8730454444885254
[13],0,unsat,2.612130880355835
[14],0,unsat,2.683384656906128
[15],0,unsat,2.8593103885650635
[16],0,unsat,3.3568437099456787
[17],0,unsat,2.563976764678955
[18],0,unsat,3.5589373111724854
[19],0,unsat,2.639655113220215
[20],0,unsat,2.641639471054077
[21],0,unsat,2.624131679534912
[22],0,unsat,1.1233317852020264
[23],0,unsat,0.6630020141601562
[0],0,unsat,2.6406829357147217
[1],0,unsat,2.8029353618621826
[2],0,unsat,2.33954119682312
[3],0,unsat,2.512751340866089
[4],0,unsat,2.6341378688812256
[5],0,unsat,2.6011335849761963
[6],0,unsat,2.9475691318511963
[7],0,unsat,2.226840019226074
[8],0,unsat,2.3705251216888428
[9],0,unsat,3.0938241481781006
[10],0,unsat,2.5799496173858643
[11],0,unsat,3.1358673572540283
[12],0,unsat,2.396648406982422
[13],0,unsat,2.744511604309082
[14],0,unsat,2.879833459854126
[15],0,unsat,2.7026596069335938
[16],0,unsat,3.0052928924560547
[17],0,unsat,2.47253680229187
[18],0,unsat,2.48299241065979
[19],0,unsat,2.410315752029419
[20],0,unsat,2.4777565002441406
[21],0,unsat,2.666599750518799
[22],0,unsat,1.0240797996520996
[23],0,unsat,0.6731595993041992
