Features,History,Epsilon,Result,Time
[11],10,0.02,unsat,0.5472118854522705
[11],10,0.0225,unsat,0.5564186573028564
[11],10,0.025,unsat,0.5397815704345703
[11],10,0.0275,unsat,0.5368685722351074
[11],10,0.03,unsat,0.5412943363189697
[11],10,0.0325,unsat,0.546436071395874
[11],10,0.035,unsat,0.5406725406646729
[11],10,0.0375,unsat,0.5443878173828125
[11],10,0.04,unsat,0.5508079528808594
[11],10,0.0425,unsat,0.5407586097717285
[11],10,0.045,unsat,0.5483078956604004
[11],10,0.0475,unsat,0.5467004776000977
[11],10,0.05,unsat,0.534273624420166
[11],10,0.0025,unsat,0.5387747287750244
[11],10,0.005,unsat,0.5468566417694092
[11],10,0.0075,unsat,0.542773962020874
[11],10,0.01,unsat,0.5380995273590088
[11],10,0.0125,unsat,0.546623706817627
[11],10,0.015,unsat,0.5431888103485107
[11],10,0.0175,unsat,0.5413317680358887
[11],10,0.02,unsat,0.5522692203521729
[11],10,0.0225,unsat,0.5484514236450195
[11],10,0.025,unsat,0.5501055717468262
[11],10,0.0275,unsat,0.5433855056762695
[11],10,0.03,unsat,0.5522868633270264
[11],10,0.0325,unsat,0.5813727378845215
[11],10,0.035,unsat,0.5496077537536621
[11],10,0.0375,unsat,0.554898738861084
[11],10,0.04,unsat,0.5485358238220215
[11],10,0.0425,unsat,0.5567765235900879
[11],10,0.045,unsat,0.5481603145599365
[11],10,0.0475,unsat,0.5557374954223633
[11],10,0.05,unsat,0.5583696365356445
[11],10,0.0025,unsat,0.5534775257110596
[11],10,0.005,unsat,0.5536043643951416
[11],10,0.0075,unsat,0.5544390678405762
[11],10,0.01,unsat,0.5535082817077637
[11],10,0.0125,unsat,0.5552482604980469
[11],10,0.015,unsat,0.5587618350982666
[11],10,0.0175,unsat,0.5620465278625488
[11],10,0.02,unsat,0.5552473068237305
[11],10,0.0225,unsat,0.5634198188781738
[11],10,0.025,unsat,0.5575892925262451
[11],10,0.0275,unsat,0.5633435249328613
[11],10,0.03,unsat,0.5539324283599854
[11],10,0.0325,unsat,0.5611474514007568
[11],10,0.035,unsat,0.5633423328399658
[11],10,0.0375,unsat,0.5573499202728271
[11],10,0.04,unsat,0.5665848255157471
[11],10,0.0425,unsat,0.5815436840057373
[11],10,0.045,unsat,0.5595517158508301
[11],10,0.0475,unsat,0.5560662746429443
[11],10,0.05,unsat,0.5614292621612549
